"STATISTIC Label","Year","Type of Animal","UNIT","VALUE"
"Farm Animals in December","2010","Gilts in pig","Thousand","19.1"
"Farm Animals in December","2010","Sows in pig","Thousand","89.4"
"Farm Animals in December","2010","Other sows for breeding","Thousand","25.9"
"Farm Animals in December","2010","Gilts not yet served","Thousand","15"
"Farm Animals in December","2010","Boars","Thousand","1.4"
"Farm Animals in December","2010","Other pigs","Thousand","1349.6"
"Farm Animals in December","2010","Other pigs: 20kg and under 50kg","Thousand","399.3"
"Farm Animals in December","2010","Other pigs: 50kg and under 80kg","Thousand","295.6"
"Farm Animals in December","2010","Other pigs: 80kg and over","Thousand","248.9"
"Farm Animals in December","2010","Other pigs: under 20kg","Thousand","405.7"
"Farm Animals in December","2011","Total cattle","Thousand","5925.3"
"Farm Animals in December","2011","Cows","Thousand","2118.6"
"Farm Animals in December","2011","Dairy cows","Thousand","1035.6"
"Farm Animals in December","2011","Other cows","Thousand","1083"
"Farm Animals in December","2011","Bulls","Thousand","49.2"
"Farm Animals in December","2011","Cattle: 2 years and over","Thousand","465.5"
"Farm Animals in December","2011","Cattle male: 2 years and over","Thousand","169.4"
"Farm Animals in December","2011","Cattle female: 2 years and over","Thousand","287.1"
"Farm Animals in December","2011","Cattle: 1-2 years","Thousand","1433"
"Farm Animals in December","2011","Cattle male: 1-2 years","Thousand","620.9"
"Farm Animals in December","2011","Cattle female: 1-2 years","Thousand","812"
"Farm Animals in December","2011","Cattle: under 1 year","Thousand","1868"
"Farm Animals in December","2011","Cattle male: under 1 year","Thousand","902"
"Farm Animals in December","2011","Cattle female: under 1 year","Thousand","966"
"Farm Animals in December","2011","Total cattle: male","Thousand","1741.5"
"Farm Animals in December","2011","Total cattle: female","Thousand","4183.8"
"Farm Animals in December","2011","Total sheep","Thousand","3321.3"
"Farm Animals in December","2011","Breeding sheep","Thousand","2524.2"
"Farm Animals in December","2011","Ewes","Thousand","2450.8"
"Farm Animals in December","2011","Ewes: 2 years and over","Thousand","1932"
"Farm Animals in December","2011","Ewes: under 2 years","Thousand","518.8"
"Farm Animals in December","2011","Rams","Thousand","73.4"
"Farm Animals in December","2011","Other sheep","Thousand","797.1"
"Farm Animals in December","2011","Total pigs","Thousand","1552.9"
"Farm Animals in December","2011","Breeding pigs","Thousand","147.7"
"Farm Animals in December","2011","Gilts in pig","Thousand","18.2"
"Farm Animals in December","2011","Sows in pig","Thousand","88.9"
"Farm Animals in December","2011","Other sows for breeding","Thousand","23.4"
"Farm Animals in December","2011","Gilts not yet served","Thousand","15.9"
"Farm Animals in December","2011","Boars","Thousand","1.2"
"Farm Animals in December","2011","Other pigs","Thousand","1405.3"
"Farm Animals in December","2011","Other pigs: 20kg and under 50kg","Thousand","402.7"
"Farm Animals in December","2011","Other pigs: 50kg and under 80kg","Thousand","335"
"Farm Animals in December","2011","Other pigs: 80kg and over","Thousand","219.7"
"Farm Animals in December","2011","Other pigs: under 20kg","Thousand","447.9"
"Farm Animals in December","2012","Total cattle","Thousand","6253.2"
"Farm Animals in December","2012","Cows","Thousand","2188.2"
"Farm Animals in December","2012","Dairy cows","Thousand","1060.3"
"Farm Animals in December","2012","Other cows","Thousand","1127.9"
"Farm Animals in December","2012","Bulls","Thousand","49.5"
"Farm Animals in December","2012","Cattle: 2 years and over","Thousand","319"
"Farm Animals in December","2012","Cattle male: 2 years and over","Thousand","159.5"
"Farm Animals in December","2012","Cattle female: 2 years and over","Thousand","262.6"
"Farm Animals in December","2012","Cattle: 1-2 years","Thousand","1606.9"
"Farm Animals in December","2012","Cattle male: 1-2 years","Thousand","726.9"
"Farm Animals in December","2012","Cattle female: 1-2 years","Thousand","880"
"Farm Animals in December","2012","Cattle: under 1 year","Thousand","1986.6"
"Farm Animals in December","2012","Cattle male: under 1 year","Thousand","987.6"
"Farm Animals in December","2012","Cattle female: under 1 year","Thousand","999"
"Farm Animals in December","2012","Total cattle: male","Thousand","1923.4"
"Farm Animals in December","2012","Total cattle: female","Thousand","4329.9"
"Farm Animals in December","2012","Total sheep","Thousand","3430.3"
"Farm Animals in December","2012","Breeding sheep","Thousand","2576.3"
"Farm Animals in December","2012","Ewes","Thousand","2500.9"
"Farm Animals in December","2012","Ewes: 2 years and over","Thousand","1989.1"
"Farm Animals in December","2012","Ewes: under 2 years","Thousand","511.8"
"Farm Animals in December","2012","Rams","Thousand","75.4"
"Farm Animals in December","2012","Other sheep","Thousand","854"
"Farm Animals in December","2012","Total pigs","Thousand","1493.5"
"Farm Animals in December","2012","Breeding pigs","Thousand","145.7"
"Farm Animals in December","2012","Gilts in pig","Thousand","20.7"
"Farm Animals in December","2012","Sows in pig","Thousand","82.6"
"Farm Animals in December","2012","Other sows for breeding","Thousand","25.7"
"Farm Animals in December","2012","Gilts not yet served","Thousand","15.2"
"Farm Animals in December","2012","Boars","Thousand","1.5"
"Farm Animals in December","2012","Other pigs","Thousand","1347.9"
"Farm Animals in December","2012","Other pigs: 20kg and under 50kg","Thousand","412.6"
"Farm Animals in December","2012","Other pigs: 50kg and under 80kg","Thousand","298.7"
"Farm Animals in December","2012","Other pigs: 80kg and over","Thousand","228.8"
"Farm Animals in December","2012","Other pigs: under 20kg","Thousand","407.7"
"Farm Animals in December","2013","Total cattle","Thousand","6309.1"
"Farm Animals in December","2013","Cows","Thousand","2167.5"
"Farm Animals in December","2013","Dairy cows","Thousand","1082.5"
"Farm Animals in December","2013","Other cows","Thousand","1085.1"
"Farm Animals in December","2013","Bulls","Thousand","48.1"
"Farm Animals in December","2013","Cattle: 2 years and over","Thousand","496.3"
"Farm Animals in December","2013","Cattle male: 2 years and over","Thousand","207.2"
"Farm Animals in December","2013","Cattle female: 2 years and over","Thousand","289.1"
"Farm Animals in December","2013","Cattle: 1-2 years","Thousand","1703.8"
"Farm Animals in December","2013","Cattle male: 1-2 years","Thousand","793.4"
"Farm Animals in December","2013","Cattle female: 1-2 years","Thousand","910.4"
"Farm Animals in December","2013","Cattle: under 1 year","Thousand","1893.3"
"Farm Animals in December","2013","Cattle male: under 1 year","Thousand","914.2"
"Farm Animals in December","2013","Cattle female: under 1 year","Thousand","979.1"
"Farm Animals in December","2013","Total cattle: male","Thousand","1962.9"
"Farm Animals in December","2013","Total cattle: female","Thousand","4346.2"
"Farm Animals in December","2013","Total sheep","Thousand","3324.1"
"Farm Animals in December","2013","Breeding sheep","Thousand","2546.3"
"Farm Animals in December","2013","Ewes","Thousand","2472.8"
"Farm Animals in December","2013","Ewes: 2 years and over","Thousand","1998.8"
"Farm Animals in December","2013","Ewes: under 2 years","Thousand","474"
"Farm Animals in December","2013","Rams","Thousand","73.4"
"Farm Animals in December","2013","Other sheep","Thousand","777.8"
"Farm Animals in December","2013","Total pigs","Thousand","1469.1"
"Farm Animals in December","2013","Breeding pigs","Thousand","145.8"
"Farm Animals in December","2013","Gilts in pig","Thousand","19.1"
"Farm Animals in December","2013","Sows in pig","Thousand","79.4"
"Farm Animals in December","2013","Other sows for breeding","Thousand","29.8"
"Farm Animals in December","2013","Gilts not yet served","Thousand","16"
"Farm Animals in December","2013","Boars","Thousand","1.5"
"Farm Animals in December","2013","Other pigs","Thousand","1323.3"
"Farm Animals in December","2013","Other pigs: 20kg and under 50kg","Thousand","380.6"
"Farm Animals in December","2013","Other pigs: 50kg and under 80kg","Thousand","273.4"
"Farm Animals in December","2013","Other pigs: 80kg and over","Thousand","242"
"Farm Animals in December","2013","Other pigs: under 20kg","Thousand","427.2"
"Farm Animals in December","2014","Total cattle","Thousand","6243.1"
"Farm Animals in December","2014","Cows","Thousand","2168.9"
"Farm Animals in December","2014","Dairy cows","Thousand","1127.7"
"Farm Animals in December","2014","Other cows","Thousand","1041.2"
"Farm Animals in December","2014","Bulls","Thousand","51.5"
"Farm Animals in December","2014","Cattle: 2 years and over","Thousand","498.9"
"Farm Animals in December","2014","Cattle male: 2 years and over","Thousand","194.4"
"Farm Animals in December","2014","Cattle female: 2 years and over","Thousand","304.5"
"Farm Animals in December","2014","Cattle: 1-2 years","Thousand","1638"
"Farm Animals in December","2014","Cattle male: 1-2 years","Thousand","745.3"
"Farm Animals in December","2014","Cattle female: 1-2 years","Thousand","892.7"
"Farm Animals in December","2014","Cattle: under 1 year","Thousand","1885.7"
"Farm Animals in December","2014","Cattle male: under 1 year","Thousand","901.1"
"Farm Animals in December","2014","Cattle female: under 1 year","Thousand","984.6"
"Farm Animals in December","2014","Total cattle: male","Thousand","1892.3"
"Farm Animals in December","2014","Total cattle: female","Thousand","4350.7"
"Farm Animals in December","2014","Total sheep","Thousand","3324.9"
"Farm Animals in December","2014","Breeding sheep","Thousand","2503.6"
"Farm Animals in December","2014","Ewes","Thousand","2430.2"
"Farm Animals in December","2014","Ewes: 2 years and over","Thousand","1980.1"
"Farm Animals in December","2014","Ewes: under 2 years","Thousand","450.1"
"Farm Animals in December","2014","Rams","Thousand","73.4"
"Farm Animals in December","2014","Other sheep","Thousand","821.3"
"Farm Animals in December","2014","Total pigs","Thousand","1505.7"
"Farm Animals in December","2014","Breeding pigs","Thousand","147"
"Farm Animals in December","2014","Gilts in pig","Thousand","19.5"
