"Number of livestock by Municipality, Livestock, Type and Year"

"Municipality","Livestock","Number of livestock 2018","Number of livestock 2019","Number of livestock 2020","Number of livestock 2021","Number of livestock 2022"
"Libohovë","Beehives",2760,2800,2400,3000,1448
"Librazhd","Cattle",8842,7250,6500,6300,5500
"Librazhd","Cows",6200,5800,5500,5500,4600
"Librazhd","Sheep/Goats",46000,38800,40100,31200,27200
"Librazhd","Sheep",27000,22500,23600,18000,17600
"Librazhd","Milked sheep",18000,16700,17500,13500,13500
"Librazhd","Goats",19000,16300,16500,13200,9600
"Librazhd","Milked goats",14000,13000,13800,10200,8000
"Librazhd","Pigs",270,480,320,850,130
"Librazhd","Sows",30,32,30,30,8
"Librazhd","Equidae",2060,2079,1570,1570,870
"Librazhd","Poultry ",77000,93720,97000,97000,96000
"Librazhd","Laying hens",48000,50000,55000,55000,55000
"Librazhd","Turkeys",6000,6100,6000,6000,6000
"Librazhd","Beehives",2600,2600,4200,4300,6840
"Lushnjë","Cattle",23540,23780,21020,20850,11272
"Lushnjë","Cows",15840,15870,14220,13070,10602
"Lushnjë","Sheep/Goats",50390,51593,49800,49580,35468
"Lushnjë","Sheep",42290,42810,41000,40700,28429
"Lushnjë","Milked sheep",33830,34092,32000,28600,22743
"Lushnjë","Goats",8100,8783,8800,8880,7039
"Lushnjë","Milked goats",5624,5690,5690,5300,5631
"Lushnjë","Pigs",9250,9740,10500,10400,4368
"Lushnjë","Sows",690,725,800,980,873
"Lushnjë","Equidae",3720,3720,3400,3024,2234
"Lushnjë","Poultry ",710610,714290,720000,715000,296446
"Lushnjë","Laying hens",289360,290840,300000,299000,299000
"Lushnjë","Turkeys",42350,41860,60000,67450,28000
"Lushnjë","Beehives",4600,4750,6325,9150,11630
"Malësi e Madhe","Cattle",7130,6850,3625,4110,4098
"Malësi e Madhe","Cows",5250,4950,3010,3415,3395
"Malësi e Madhe","Sheep/Goats",31660,30230,16787,17291,17293
