           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;291666;"SUMATERA SELATAN"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;151750;BENGKULU
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;850555;LAMPUNG
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;14743;"KEP. BANGKA BELITUNG"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;26270;"KEP. RIAU"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;2396;"DKI JAKARTA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;406805;"JAWA BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;1786932;"JAWA TENGAH"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;304423;"DI YOGYAKARTA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;4705067;"JAWA TIMUR"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;48806;BANTEN
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;544955;BALI
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;1234640;"NUSA TENGGARA BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;1087761;"NUSA TENGGARA TIMUR"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;154382;"KALIMANTAN BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;86966;"KALIMANTAN TENGAH"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;128720;"KALIMANTAN SELATAN"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;119485;"KALIMANTAN TIMUR"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;22776;"KALIMANTAN UTARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;121035;"SULAWESI UTARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;369224;"SULAWESI TENGAH"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;1369890;"SULAWESI SELATAN"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;330594;"SULAWESI TENGGARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;246994;GORONTALO
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;109510;"SULAWESI BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;107231;MALUKU
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;101860;"MALUKU UTARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;55497;"PAPUA BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;107033;PAPUA
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2019;Tahun;16930025;INDONESIA
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;354741;ACEH
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;982963;"SUMATERA UTARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;401094;"SUMATERA BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;163047;RIAU
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;159187;JAMBI
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;294714;"SUMATERA SELATAN"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;157923;BENGKULU
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;827217;LAMPUNG
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;13760;"KEP. BANGKA BELITUNG"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;25464;"KEP. RIAU"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;1840;"DKI JAKARTA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;405803;"JAWA BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;1751799;"JAWA TENGAH"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;313425;"DI YOGYAKARTA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;4637970;"JAWA TIMUR"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;45292;BANTEN
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;560546;BALI
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;1183570;"NUSA TENGGARA BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;1027286;"NUSA TENGGARA TIMUR"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;143307;"KALIMANTAN BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;67829;"KALIMANTAN TENGAH"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;113094;"KALIMANTAN SELATAN"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;117504;"KALIMANTAN TIMUR"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;21968;"KALIMANTAN UTARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;111576;"SULAWESI UTARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;343630;"SULAWESI TENGAH"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;1310194;"SULAWESI SELATAN"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;298692;"SULAWESI TENGGARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;230435;GORONTALO
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;95287;"SULAWESI BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;80034;MALUKU
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;58454;"MALUKU UTARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;50991;"PAPUA BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;82309;PAPUA
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2018;Tahun;16432945;INDONESIA
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;627698;ACEH
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;712106;"SUMATERA UTARA"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;393481;"SUMATERA BARAT"
"Populasi Sapi Potong menurut Provinsi";"Tidak Ada";2017;Tahun;238190;RIAU
